incident_name,has_accounts,has_addresses,has_transactions,num_hacker_accounts,num_related_addresses,num_transactions,num_normal_tx,num_internal_tx,num_erc20_tx,num_erc721_tx,total_eth_value,unique_from_addresses,unique_to_addresses,unique_contracts,earliest_timestamp,latest_timestamp,year,month,amount_stolen,description,data_quality,has_complete_data,earliest_date,latest_date,activity_duration_days
ChainPort_2,True,True,True,1,2,3,2,1,0,0,0.0,2,2,0,1626891695.0,1626893368.0,,,,,Minimal,True,2021-07-21 18:21:35,2021-07-21 18:49:28,0.02
Gatecoin_3,True,True,True,1,3,2,2,0,0,0,9999.99937,2,2,0,1463066612.0,1463066794.0,,,,,Minimal,True,2016-05-12 15:23:32,2016-05-12 15:26:34,0.0
DeFiGeek_2023,True,False,False,1,1,0,0,0,0,0,0.0,0,0,0,,,2023.0,4.0,2.3,DeFiGeek Community Pool Exploit,No Transactions,False,,,
bZx_PrivKey_4,True,False,False,1,1,0,0,0,0,0,0.0,0,0,0,,,,,,,No Transactions,False,,,
Deus_Finance_2022,True,False,False,1,1,0,0,0,0,0,0.0,0,0,0,,,2022.0,3.0,3.0,Deus Finance Flash Loan Attack,No Transactions,False,,,
Dexible_2023,True,False,False,1,1,0,0,0,0,0,0.0,0,0,0,,,2023.0,2.0,2.0,Dexible Self-Destruct Exploit,No Transactions,False,,,
FixedFloat_2024,True,False,False,1,1,0,0,0,0,0,0.0,0,0,0,,,2024.0,2.0,26.1,FixedFloat Exchange Hack,No Transactions,False,,,
Alphapo_2023,True,False,False,1,1,0,0,0,0,0,0.0,0,0,0,,,2023.0,7.0,60.0,Alphapo Hot Wallet Breach,No Transactions,False,,,
Wintermute_2022,True,False,False,1,1,0,0,0,0,0,0.0,0,0,0,,,2022.0,9.0,160.0,Wintermute Hot Wallet Compromise,No Transactions,False,,,
Mixin_Network_2023,True,False,False,1,1,0,0,0,0,0,0.0,0,0,0,,,2023.0,9.0,200.0,Mixin Network Database Breach,No Transactions,False,,,
Shido_2024,True,False,False,1,1,0,0,0,0,0,0.0,0,0,0,,,2024.0,4.0,3.3,Shido Token Sale Exploit,No Transactions,False,,,
Unizen_2024,True,False,False,1,1,0,0,0,0,0,0.0,0,0,0,,,2024.0,8.0,2.1,Unizen Smart Contract Exploit,No Transactions,False,,,
Stake_com_2023,True,False,False,1,1,0,0,0,0,0,0.0,0,0,0,,,2023.0,9.0,41.0,Stake.com Hot Wallet Hack,No Transactions,False,,,
Bitmart_December_2022,True,False,False,1,1,0,0,0,0,0,0.0,0,0,0,,,2022.0,12.0,196.0,Bitmart Hot Wallet Breach,No Transactions,False,,,
BingX_2024,True,False,False,1,1,0,0,0,0,0,0.0,0,0,0,,,2024.0,9.0,52.0,BingX Hot Wallet Compromise,No Transactions,False,,,
Munchables_2024,True,False,False,1,1,0,0,0,0,0,0.0,0,0,0,,,2024.0,3.0,62.0,Munchables Private Key Leak,No Transactions,False,,,
Meter_IO_2022,True,False,False,1,1,0,0,0,0,0,0.0,0,0,0,,,2022.0,2.0,4.4,Meter.io Bridge Hack,No Transactions,False,,,
BonqDAO_2023,True,False,False,1,1,0,0,0,0,0,0.0,0,0,0,,,2023.0,2.0,120.0,BonqDAO Oracle Manipulation,No Transactions,False,,,
Penpie_2024,True,False,False,1,1,0,0,0,0,0,0.0,0,0,0,,,2024.0,9.0,27.0,Penpie Reentrancy Attack,No Transactions,False,,,
Platypus_Finance_2023,True,False,False,1,1,0,0,0,0,0,0.0,0,0,0,,,2023.0,2.0,8.5,Platypus Finance Flash Loan Attack,No Transactions,False,,,
DMM_Bitcoin_2024,True,False,False,1,1,0,0,0,0,0,0.0,0,0,0,,,2024.0,5.0,305.0,DMM Bitcoin Exchange Hack,No Transactions,False,,,
Poloniex_2023,True,False,False,1,1,0,0,0,0,0,0.0,0,0,0,,,2023.0,11.0,126.0,Poloniex Hot Wallet Compromise,No Transactions,False,,,
BtcTurk_2024,True,False,False,1,1,0,0,0,0,0,0.0,0,0,0,,,2024.0,6.0,55.0,BtcTurk Hot Wallet Breach,No Transactions,False,,,
Jimbos_Protocol_2023,True,False,False,1,1,0,0,0,0,0,0.0,0,0,0,,,2023.0,5.0,7.5,Jimbos Protocol Liquidity Attack,No Transactions,False,,,
Prisma_Finance_2024,True,False,False,1,1,0,0,0,0,0,0.0,0,0,0,,,2024.0,3.0,11.6,Prisma Finance Access Control Exploit,No Transactions,False,,,
Hundred_Finance_2023,True,False,False,1,1,0,0,0,0,0,0.0,0,0,0,,,2023.0,4.0,7.4,Hundred Finance Price Manipulation,No Transactions,False,,,
Radiant_Capital_October_2024,True,False,False,1,1,0,0,0,0,0,0.0,0,0,0,,,2024.0,10.0,50.0,Radiant Capital Multi-Sig Compromise,No Transactions,False,,,
Hope_Finance_2023,True,False,False,1,1,0,0,0,0,0,0.0,0,0,0,,,2023.0,2.0,1.86,Hope Finance Reentrancy Attack,No Transactions,False,,,
Atomic_Wallet_2023,True,False,False,1,1,0,0,0,0,0,0.0,0,0,0,,,2023.0,6.0,100.0,Atomic Wallet Mass Compromise,No Transactions,False,,,
Heco_Bridge_2023,True,False,False,1,1,0,0,0,0,0,0.0,0,0,0,,,2023.0,11.0,86.6,Heco Bridge Exploit,No Transactions,False,,,
Saddle_Finance_2022,True,False,False,1,1,0,0,0,0,0,0.0,0,0,0,,,2022.0,4.0,10.0,Saddle Finance Exploit,No Transactions,False,,,
Seneca_Protocol_2024,True,False,False,1,1,0,0,0,0,0,0.0,0,0,0,,,2024.0,2.0,6.4,Seneca Protocol Exploit,No Transactions,False,,,
PlayDapp_2024,True,False,False,1,1,0,0,0,0,0,0.0,0,0,0,,,2024.0,2.0,290.0,PlayDapp Private Key Compromise,No Transactions,False,,,
