incident_name,has_accounts,has_addresses,has_transactions,num_hacker_accounts,num_related_addresses,num_transactions,num_normal_tx,num_internal_tx,num_erc20_tx,num_erc721_tx,total_eth_value,unique_from_addresses,unique_to_addresses,unique_contracts,earliest_timestamp,latest_timestamp,year,month,amount_stolen,description,data_quality,has_complete_data,earliest_date,latest_date,activity_duration_days
Rari_Capital_Fei_2022,True,True,True,1,52,435,343,11,80,1,26500.0014,27,16,25,1651304127.0,1756589771.0,2022.0,4.0,80.0,Rari Capital Fuse Pool Exploit,Medium,True,2022-04-30 07:35:27,2025-08-30 21:36:11,1218.58
BNB_Bridge_2022,True,True,True,1,302,391,112,16,259,4,33772.15440207022,94,165,55,1665081335.0,1753323275.0,2022.0,10.0,570.0,BNB Chain Bridge Exploit,Medium,True,2022-10-06 18:35:35,2025-07-24 02:14:35,1021.32
THORChain_2,True,True,True,1,16,381,56,55,270,0,20315.890558359533,6,13,7,1626368344.0,1626676710.0,,,,,Medium,True,2021-07-15 16:59:04,2021-07-19 06:38:30,3.57
Alpha_Homora_V2,True,True,True,1,114,356,274,9,73,0,8178.200180111122,53,24,45,1613120153.0,1757761151.0,,,,,Medium,True,2021-02-12 08:55:53,2025-09-13 10:59:11,1674.09
AscendEX,True,True,True,1,105,356,149,7,200,0,2940.3858639985633,12,95,89,1639252352.0,1703990483.0,,,,,Medium,True,2021-12-11 19:52:32,2023-12-31 02:41:23,749.28
Wormhole_2022,True,True,True,1,169,353,226,8,117,2,110538.8589183351,106,21,58,1643814548.0,1757292359.0,2022.0,2.0,326.0,Wormhole Bridge Hack,Medium,True,2022-02-02 15:09:08,2025-09-08 00:45:59,1313.4
Cream_Finance_Flash_Loan_3,True,True,True,1,102,350,145,34,170,1,19513.889483139996,42,27,49,1635364741.0,1756516055.0,,,,,Medium,True,2021-10-27 19:59:01,2025-08-30 01:07:35,1402.21
Rari_Capital,True,True,True,1,19,349,250,94,5,0,204377.0910696363,11,10,4,1620397198.0,1695804767.0,,,,,Medium,True,2021-05-07 14:19:58,2023-09-27 08:52:47,872.77
ATO_Stolen_Funds,True,True,True,1,292,338,334,0,4,0,9666.259624496352,288,2,4,1642445075.0,1756603055.0,,,,,Medium,True,2022-01-17 18:44:35,2025-08-31 01:17:35,1321.27
Fake__Metadium_Presale,True,True,True,1,313,333,189,10,134,0,8681.811924731339,101,134,99,1519746090.0,1758675863.0,,,,,Medium,True,2018-02-27 15:41:30,2025-09-24 01:04:23,2765.39
Beanstalk_2022,True,True,True,1,26,332,325,4,3,0,24994.3551069,18,7,2,1650093494.0,1738750739.0,2022.0,4.0,182.0,Beanstalk Governance Attack,Medium,True,2022-04-16 07:18:14,2025-02-05 10:18:59,1026.13
Harmony_2022,True,True,True,2,86,329,159,47,123,0,189848.62786807807,41,47,18,1655982406.0,1757577191.0,2022.0,6.0,100.0,Harmony Horizon Bridge Hack,Medium,True,2022-06-23 11:06:46,2025-09-11 07:53:11,1175.87
MommyMilkers_Honeypot_Token,True,True,True,1,175,276,276,0,0,0,0.0,174,1,0,1621704547.0,1717822511.0,,,,,Medium,True,2021-05-22 17:29:07,2024-06-08 04:55:11,1112.48
Multisig_Exploit,True,True,True,1,286,276,127,4,143,2,70020.2231335435,157,14,122,1500415850.0,1757556227.0,,,,,Medium,True,2017-07-18 22:10:50,2025-09-11 02:03:47,2976.16
Qubit_Finance_2022,True,True,True,1,77,236,170,11,45,10,28546.69544393357,48,11,28,1643318335.0,1757556431.0,2022.0,1.0,80.0,Qubit Bridge Exploit,Medium,True,2022-01-27 21:18:55,2025-09-11 02:07:11,1322.2
Gatecoin_1,True,True,True,1,241,234,113,1,118,2,59480.51006471555,135,1,108,1462831235.0,1757556239.0,,,,,Medium,True,2016-05-09 22:00:35,2025-09-11 02:03:59,3411.17
Gatecoin_4,True,True,True,1,232,231,115,1,113,2,80459.52799489,124,14,99,1462829512.0,1757556227.0,,,,,Medium,True,2016-05-09 21:31:52,2025-09-11 02:03:47,3411.19
MetaDAO_Rug,True,True,True,1,36,231,190,14,27,0,2911.509270780701,20,10,13,1640498369.0,1667062019.0,,,,,Medium,True,2021-12-26 05:59:29,2022-10-29 16:46:59,307.45
Arthur0x,True,True,True,1,38,223,83,5,53,82,728.3504710973687,19,30,10,1647908919.0,1725733343.0,,,,,Medium,True,2022-03-22 00:28:39,2024-09-07 18:22:23,900.75
Gatecoin_2,True,True,True,1,241,222,89,0,131,2,59491.41006815554,124,3,120,1462820993.0,1757556239.0,,,,,Medium,True,2016-05-09 19:09:53,2025-09-11 02:03:59,3411.29
Curve_Finance_2023,True,True,True,2,57,222,189,13,20,0,-5.543701334353671,23,38,8,1662918989.0,1757198171.0,2023.0,7.0,73.0,Curve Finance Vyper Exploit,Medium,True,2022-09-11 17:56:29,2025-09-06 22:36:11,1091.19
bZx_PrivKey_3,True,True,True,1,67,220,113,18,84,5,3461.70390725991,36,44,19,1636110568.0,1754097191.0,,,,,Medium,True,2021-11-05 11:09:28,2025-08-02 01:13:11,1365.59
Force_Vault_3,True,True,True,1,13,210,100,48,62,0,-3.8114770199994847,9,8,3,1617517144.0,1667061707.0,,,,,Medium,True,2021-04-04 06:19:04,2022-10-29 16:41:47,573.43
Cream_Finance_Flashloan,True,True,True,1,88,210,132,13,65,0,5758.706056308615,55,57,13,1624274897.0,1644366216.0,,,,,Medium,True,2021-06-21 11:28:17,2022-02-09 00:23:36,232.54
BadgerDAO,True,True,True,1,39,199,195,0,4,0,8.345377195822119,11,26,4,1637402785.0,1756512587.0,,,,,Medium,True,2021-11-20 10:06:25,2025-08-30 00:09:47,1378.59
Upbit_1,True,True,True,1,191,186,119,1,65,1,684600.3905219388,134,5,59,1574827601.0,1664937479.0,,,,,Medium,True,2019-11-27 04:06:41,2022-10-05 02:37:59,1042.94
Indexed_Finance,True,True,True,1,80,181,82,5,94,0,166.86963717662488,39,39,33,1634191372.0,1753617479.0,,,,,Medium,True,2021-10-14 06:02:52,2025-07-27 11:57:59,1382.25
Furucombo,True,True,True,1,67,179,93,17,69,0,6229.058122709475,35,37,24,1614341644.0,1667061683.0,,,,,Medium,True,2021-02-26 12:14:04,2022-10-29 16:41:23,610.19
BELLE_Honeypot_Rug_Pull,True,True,True,1,26,165,83,25,57,0,925.9694426446724,10,18,11,1636757168.0,1667061695.0,,,,,Medium,True,2021-11-12 22:46:08,2022-10-29 16:41:35,350.75
