incident_name,hacker_address,related_address,relation_type
MetaDAO_Rug,0x9c4c63a896f815acf14f73891a443fb84d0b54ef,0x242497557f698f0e525228a3f7fd84095eadf0ad,counterparty
MetaDAO_Rug,0x9c4c63a896f815acf14f73891a443fb84d0b54ef,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,counterparty
MetaDAO_Rug,0x9c4c63a896f815acf14f73891a443fb84d0b54ef,0x908599fdf490b73d171b57731bd4ca95b7f0de6a,counterparty
MetaDAO_Rug,0x9c4c63a896f815acf14f73891a443fb84d0b54ef,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,counterparty
MetaDAO_Rug,0x9c4c63a896f815acf14f73891a443fb84d0b54ef,0x722122df12d4e14e13ac3b6895a86e84145b6967,counterparty
MetaDAO_Rug,0x9c4c63a896f815acf14f73891a443fb84d0b54ef,0x54202b2550515066163c252bd703e99ab3d60e98,counterparty
MetaDAO_Rug,0x9c4c63a896f815acf14f73891a443fb84d0b54ef,0xc448e14099c27903f04d68d2ad16c4ac92bb3229,counterparty
MetaDAO_Rug,0x9c4c63a896f815acf14f73891a443fb84d0b54ef,0x582685797a7f2faca82d49c6c7d166edc7ed3bfb,counterparty
MetaDAO_Rug,0x9c4c63a896f815acf14f73891a443fb84d0b54ef,0x5a4dfd6e123ebfaab98fbc66d370753dd2e30e53,counterparty
MetaDAO_Rug,0x9c4c63a896f815acf14f73891a443fb84d0b54ef,0x55ca2eeae1a88266d786f61eee9e476ced7ed162,counterparty
MetaDAO_Rug,0x9c4c63a896f815acf14f73891a443fb84d0b54ef,0xab5801a7d398351b8be11c439e05c5b3259aec9b,counterparty
MetaDAO_Rug,0x9c4c63a896f815acf14f73891a443fb84d0b54ef,0x998e70adc540c2b7a53d29ff3447716a32b92562,counterparty
MetaDAO_Rug,0x9c4c63a896f815acf14f73891a443fb84d0b54ef,0x9b829186127fa3b71c925f520c9bfa301dd07c63,counterparty
MetaDAO_Rug,0x9c4c63a896f815acf14f73891a443fb84d0b54ef,0x141bc6f091e49f773163478c2e648498eeae8d69,counterparty
MetaDAO_Rug,0x9c4c63a896f815acf14f73891a443fb84d0b54ef,0xd47c30ffef3d50a4fe764e34d755b057eb8755e6,counterparty
MetaDAO_Rug,0x9c4c63a896f815acf14f73891a443fb84d0b54ef,0x082b0f3a74ced8e0ff5902316aeea97beed459b5,counterparty
MetaDAO_Rug,0x9c4c63a896f815acf14f73891a443fb84d0b54ef,0x6262998ced04146fa42253a5c0af90ca02dfd2a3,counterparty
MetaDAO_Rug,0x9c4c63a896f815acf14f73891a443fb84d0b54ef,0x2ece1e3fcb52bc47d99ed4427bb37a6011594388,counterparty
MetaDAO_Rug,0x9c4c63a896f815acf14f73891a443fb84d0b54ef,0x4af9ab04615cb91e2ee8cbedb43fb52ed205041b,counterparty
MetaDAO_Rug,0x9c4c63a896f815acf14f73891a443fb84d0b54ef,0x0830275eefe153cc03c4d3aee810e78086d1615e,counterparty
MetaDAO_Rug,0x9c4c63a896f815acf14f73891a443fb84d0b54ef,0xd1242b79adf9f9f0487ca14d3d1de2c82d84b530,counterparty
MetaDAO_Rug,0x9c4c63a896f815acf14f73891a443fb84d0b54ef,0x375985e58b8152582a92b5a3440072b93aa9facc,counterparty
MetaDAO_Rug,0x9c4c63a896f815acf14f73891a443fb84d0b54ef,0x852c967ad95cfcd69345dfb9b39151b48c666af8,counterparty
MetaDAO_Rug,0x9c4c63a896f815acf14f73891a443fb84d0b54ef,0x2d407ddb06311396fe14d4b49da5f0471447d45c,counterparty
MetaDAO_Rug,0x9c4c63a896f815acf14f73891a443fb84d0b54ef,0x0734e85525ca6838fe48ec6eb29b9d457f254f73,counterparty
MetaDAO_Rug,0x9c4c63a896f815acf14f73891a443fb84d0b54ef,0x7455099aff85d3c897d3ac599d5f8db76de1db48,counterparty
MetaDAO_Rug,0x9c4c63a896f815acf14f73891a443fb84d0b54ef,0xb2044400871aa0792a07fb9b821e9108eca608c4,counterparty
MetaDAO_Rug,0x9c4c63a896f815acf14f73891a443fb84d0b54ef,0x0a798cc3808584a4d096bb1e00b4ebb2e311fc94,counterparty
MetaDAO_Rug,0x9c4c63a896f815acf14f73891a443fb84d0b54ef,0x0000000000000000000000000000000000000000,counterparty
MetaDAO_Rug,0x9c4c63a896f815acf14f73891a443fb84d0b54ef,0xeb2629a2734e272bcc07bda959863f316f4bd4cf,counterparty
MetaDAO_Rug,0x9c4c63a896f815acf14f73891a443fb84d0b54ef,0x68bcfbddccb1650cbe584eb80cdd0a6e46ad134c,counterparty
MetaDAO_Rug,0x9c4c63a896f815acf14f73891a443fb84d0b54ef,0x25952ac5735b073944e014d4f80cbf84191786c9,counterparty
MetaDAO_Rug,0x9c4c63a896f815acf14f73891a443fb84d0b54ef,0x5d044bf469eb75e33993bb150a8a3a44e7cb8b80,counterparty
MetaDAO_Rug,0x9c4c63a896f815acf14f73891a443fb84d0b54ef,0x6795a9603e9992417560479b07ba04c5f0dd79e4,counterparty
MetaDAO_Rug,0x9c4c63a896f815acf14f73891a443fb84d0b54ef,0xd387a6e4e84a6c86bd90c158c6028a58cc8ac459,counterparty
