incident_name,hacker_address,related_address,relation_type
Bent_Finance_2,0x9e966a54082427d7ac56aeaee4baae7d11a6e468,0xd533a949740bb3306d119cc777fa900ba034cd52,counterparty
Bent_Finance_2,0x9e966a54082427d7ac56aeaee4baae7d11a6e468,0x3993d34e7e99abf6b6f367309975d1360222d446,counterparty
Bent_Finance_2,0x9e966a54082427d7ac56aeaee4baae7d11a6e468,0x722122df12d4e14e13ac3b6895a86e84145b6967,counterparty
Bent_Finance_2,0x9e966a54082427d7ac56aeaee4baae7d11a6e468,0x01597e397605bf280674bf292623460b4204c375,counterparty
Bent_Finance_2,0x9e966a54082427d7ac56aeaee4baae7d11a6e468,0xabb8b277f49de499b902a1e09a2aca727595b544,counterparty
Bent_Finance_2,0x9e966a54082427d7ac56aeaee4baae7d11a6e468,0x71b1ee098dbe801ce7d42a4bdb472ed164f1c21a,counterparty
Bent_Finance_2,0x9e966a54082427d7ac56aeaee4baae7d11a6e468,0x47ce0c6ed5b0ce3d3a51fdb1c52dc66a7c3c2936,counterparty
Bent_Finance_2,0x9e966a54082427d7ac56aeaee4baae7d11a6e468,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,counterparty
Bent_Finance_2,0x9e966a54082427d7ac56aeaee4baae7d11a6e468,0xc3d03e4f041fd4cd388c549ee2a29a9e5075882f,counterparty
Bent_Finance_2,0x9e966a54082427d7ac56aeaee4baae7d11a6e468,0x9d0464996170c6b9e75eed71c68b99ddedf279e8,counterparty
Bent_Finance_2,0x9e966a54082427d7ac56aeaee4baae7d11a6e468,0x58dc5a51fe44589beb22e8ce67720b5bc5378009,counterparty
Bent_Finance_2,0x9e966a54082427d7ac56aeaee4baae7d11a6e468,0xacd9d131c5da85f3a9c25d7a8e625e8260aa6db2,counterparty
Bent_Finance_2,0x9e966a54082427d7ac56aeaee4baae7d11a6e468,0xd23cfffa066f81c7640e3f0dc8bb2958f7686d1f,counterparty
Bent_Finance_2,0x9e966a54082427d7ac56aeaee4baae7d11a6e468,0xf9d25eb4c75ed744596392cf89074afaa43614a8,counterparty
Bent_Finance_2,0x9e966a54082427d7ac56aeaee4baae7d11a6e468,0x6b175474e89094c44da98b954eedeac495271d0f,counterparty
Bent_Finance_2,0x9e966a54082427d7ac56aeaee4baae7d11a6e468,0xd9e1ce17f2641f24ae83637ab66a2cca9c378b9f,counterparty
Bent_Finance_2,0x9e966a54082427d7ac56aeaee4baae7d11a6e468,0x4e3fbd56cd56c3e72c1403e103b45db9da5b9d2b,counterparty
Bent_Finance_2,0x9e966a54082427d7ac56aeaee4baae7d11a6e468,0x12d66f87a04a9e220743712ce6d9bb1b5616b8fc,counterparty
Bent_Finance_2,0x9e966a54082427d7ac56aeaee4baae7d11a6e468,0xc4ad29ba4b3c580e6d59105fff484999997675ff,counterparty
Bent_Finance_2,0x9e966a54082427d7ac56aeaee4baae7d11a6e468,0x0000000000000000000000000000000000000000,counterparty
Bent_Finance_2,0x9e966a54082427d7ac56aeaee4baae7d11a6e468,0x62b9c7356a2dc64a1969e19c23e4f579f9810aa7,counterparty
